Rad-nummer	Vårtfacit	Compere	DKAB	Menigo	Hantera	MS	Slask1	Typ1	Slask2	Typ2	Slask3	Typ3	Slask4	Typ4	Slask5	Typ5	Slask6	Typ6	Slask7	Typ7	Slask8	Typ8	Slask9	Typ9	Slask10	Typ10	Slask11	Typ11	Slask12	Typ12	Slask13	Typ13	Slask14	Typ14	Slask15	Typ15	Slask16	Typ16	Slask17	Typ17	Slask18	Typ18	Slask19	Typ19	Slask20	Typ20	Slask21	Typ21	Slask22	Typ22	Slask23	Typ23	Slask24	Typ24	Slask25	Typ25	Slask26	Typ26	Slask27	Typ27	Slask28	Typ28	Slask29	Typ29	Slask30	Typ30	Slask31	Typ31	Slask32	Typ32	Slask33	Typ33	Slask34	Typ34	Slask35	Typ35	Slask36	Typ36	Slask37	Typ37	Slask38	Typ38	Slask39	Typ39	Slask40	Typ40	Slask41	Typ41	Slask42	Typ42	Slask43	Typ43	Slask44	Typ44	Slask45	Typ45	Slask46	Typ46	Slask47	Typ47	Slask48	Typ48	Slask49	Typ49	Slask50	Typ50
50	Kött oberett	Kött oberett	Kött oberett	Kött, Viltkött	Kött oberett	Kött fläsk helt obeh import fv	Kött, Fläskkött               	Menigo	Kött, Kalvkött	Menigo	Kött, Lammkött                	Menigo	Kött, Lever, njure m.m.	Menigo	Kött, Nötkött                 	Menigo	Färser	Menigo	Färsprod. färdiga             	Menigo	Färsprod. obehandlad	Menigo	Kött, nöt(hela st.det)Se    df	M&S	Kött, nöt(hela st.det.)Imp  df	M&S	Kött fläsk(obeh st.det)Se   df	M&S	Kött fläsk helt obeh svensktfv	M&S	Färs av nöt fläsk och övr   fv	M&S	Färs av nöt och fläsk       df	M&S	Färs lamm,vilt.fågel ej krydd 	M&S	Kött fläsk(obeh.st.det.)Imp df	M&S	Kött kalv                   fv	M&S	Kött nöt helt obeh import   fv	M&S	Lamm                        df	M&S	Kött övr lamm vilt          fv	M&S	Nöt tärn skiv striml        fv	M&S	Nöt ädeldetaljer import     df	M&S	Nöt ädeldetaljer import     fv	M&S	Nöt ädeldetaljer svenskt    df	M&S	Nöt ädeldetaljer svenskt    fv	M&S	Nöt.tärnat,skiv,strim.      df	M&S	Innanmat organ              fv	M&S	Organ                       df	M&S																																												
51	Köttprodukter	Köttprodukter	Köttprodukter		Köttprodukter	Köttbullar                  df	Kött fläsk färdigbeh(sous-v)df	M&S	Kött nöt+lamm (sous-v)      df	M&S	Köttkonserv korv inkl pastejfv	M&S	Matkorv                     fv	M&S	Schnitzlar helt kött(pan,opan)	M&S	Schnitzlar sammans kött(pan,op	M&S	Skinka i burk folievac      fv	M&S	Skinka kokt rökt hel press rim	M&S	Övrig chark rim EJ skinka   fv	M&S	Kassler bacon               df	M&S	Kassler och bacon           fv	M&S	Kebab df	M&S	Korv                        df	M&S	Korv övr                    fv	M&S	Chark, Korv                   	Menigo	Chark, övrigt	Menigo	Kebab, Gyros, Skav	Menigo	Rökt och rimmat               	Menigo	Schnitzlar                    	Menigo	Sous vide och grillat         	Menigo	Skinka                        	Menigo	Färsrätter övrigt           df	Menigo	Pastejer pateer syltor aladåb 	Menigo	Pateér,pastej               df	Menigo	Hamburgare                  df	Menigo	Färdiglag.sous-vide smaksattfv	Menigo	Direktlev.kött/ch	Menigo	Falukorv                    fv	Menigo	Fläsk tärn skiv strim       fv	Menigo	Pastejer	Menigo	Charkuteriprodukter övrigt  df	Hantera	Konserver, korv               	Menigo	Konserver, kött               	Menigo																																		
52	Ljus, Tändstickor mm	Ljus, Tändstickor mm	Ljus,ljuslyktor,ljuständare	Ljus, marschaller, tändstickor	Ljus,ljuslyktor,ljuständare	Ljus, Ljuslyktor, Ljuständare 																																																																																																				
53	Majonnäs, Majonnäsprodukter	Majonnäs, Majonnäsprodukter	Majonnäs/majonnäsprodukter	Majonnäs och sallader	Majonnäs/majonnäsprodukter	Majonnäs																																																																																																				
54	Majonnäsbaserade sallader	Majonnäsbaserade sallader	Majonnässallader		Majonnässallader																																																																																																					
55	Maskindiskmedel	Maskindiskmedel	Maskindiskmedel		Maskindiskmedel	Maskindiskmedel																																																																																																				
56	Matbröd bake off	Matbröd bake off	Matbröd bake off		Matbröd bake off	"Matbröd; bake-off           df"																																																																																																				
57	Matbröd degämne	Matbröd degämne	Matbröd degämne		Matbröd degämne																																																																																																					
58	Matbröd färdigt	Matbröd färdigt	Matbröd färdigt	Matbröd                       	Matbröd färdigt	Matbröd                       	"Matbröd; färdigt            df"	M&S																																																																																																		
59	Matfett, Matolja	Matfett, Matolja	Matfett/matolja	Friteringsfett                	Matfett/matolja	Matolja	Matfett	Menigo	Oljor, sprayfett	Menigo	Aromsmör                      	Menigo	Aromsmör, smaksättare	Menigo	Margarin                      	M&S	Smör                          	M&S	Frityrfett	M&S																																																																																						
